LA_parameter,EA_parameter
RBRCLA_HEM_036_001,IMPC_HEM_036_001
RBRCLA_HEM_027_001,IMPC_HEM_027_001
RBRCLA_HEM_023_001,IMPC_HEM_023_001
RBRCLA_HEM_004_001,IMPC_HEM_004_001
RBRCLA_HEM_009_001,IMPC_HEM_009_001
RBRCLA_HEM_012_001,IMPC_HEM_012_001
RBRCLA_HEM_038_001,IMPC_HEM_038_001
RBRCLA_HEM_035_001,IMPC_HEM_035_001
RBRCLA_HEM_003_001,IMPC_HEM_003_001
RBRCLA_HEM_025_001,IMPC_HEM_025_001
RBRCLA_HEM_042_001,IMPC_HEM_042_001
RBRCLA_HEM_016_001,IMPC_HEM_016_001
RBRCLA_HEM_030_001,IMPC_HEM_030_001
RBRCLA_HEM_032_001,IMPC_HEM_032_001
RBRCLA_HEM_031_001,IMPC_HEM_031_001
RBRCLA_HEM_017_001,IMPC_HEM_017_001
RBRCLA_HEM_041_001,IMPC_HEM_041_001
RBRCLA_HEM_008_001,IMPC_HEM_008_001
RBRCLA_HEM_026_001,IMPC_HEM_026_001
RBRCLA_HEM_024_001,IMPC_HEM_024_001
UCDLA_CSD_023_001,IMPC_CSD_023_001
UCDLA_CSD_029_001,IMPC_CSD_029_001
UCDLA_CSD_014_001,IMPC_CSD_014_001
UCDLA_CSD_019_001,IMPC_CSD_019_001
UCDLA_CSD_071_001,IMPC_CSD_071_001
UCDLA_CSD_020_001,IMPC_CSD_020_001
UCDLA_CSD_003_001,IMPC_CSD_003_001
UCDLA_CSD_053_002,IMPC_CSD_053_002
UCDLA_CSD_002_001,IMPC_CSD_002_001
UCDLA_CSD_073_001,IMPC_CSD_073_001
UCDLA_CSD_039_001,IMPC_CSD_039_001
UCDLA_CSD_016_001,IMPC_CSD_016_001
UCDLA_CSD_055_002,IMPC_CSD_055_002
UCDLA_CSD_043_002,IMPC_CSD_043_002
UCDLA_CSD_066_001,IMPC_CSD_066_001
UCDLA_CSD_086_001,IMPC_CSD_086_001
UCDLA_CSD_057_001,IMPC_CSD_057_001
UCDLA_CSD_028_001,IMPC_CSD_028_001
UCDLA_CSD_041_002,IMPC_CSD_041_002
UCDLA_CSD_067_001,IMPC_CSD_067_001
UCDLA_CSD_013_001,IMPC_CSD_013_001
UCDLA_CSD_050_002,IMPC_CSD_050_002
UCDLA_CSD_021_001,IMPC_CSD_021_001
UCDLA_CSD_052_002,IMPC_CSD_052_002
UCDLA_CSD_047_001,IMPC_CSD_047_001
UCDLA_CSD_009_001,IMPC_CSD_009_001
UCDLA_CSD_032_001,IMPC_CSD_032_001
UCDLA_CSD_048_002,IMPC_CSD_048_002
UCDLA_CSD_022_001,IMPC_CSD_022_001
UCDLA_CSD_074_001,IMPC_CSD_074_001
UCDLA_CSD_008_001,IMPC_CSD_008_001
UCDLA_CSD_024_001,IMPC_CSD_024_001
UCDLA_CSD_085_001,IMPC_CSD_085_001
UCDLA_CSD_072_001,IMPC_CSD_072_001
UCDLA_CSD_045_002,IMPC_CSD_045_002
UCDLA_CSD_015_001,IMPC_CSD_015_001
UCDLA_CSD_040_002,IMPC_CSD_040_002
UCDLA_CSD_005_001,IMPC_CSD_005_001
UCDLA_CSD_018_001,IMPC_CSD_018_001
UCDLA_CSD_011_001,IMPC_CSD_011_001
UCDLA_CSD_059_001,IMPC_CSD_059_001
UCDLA_CSD_033_001,IMPC_CSD_033_001
UCDLA_CSD_062_001,IMPC_CSD_062_001
UCDLA_CSD_058_001,IMPC_CSD_058_001
UCDLA_CSD_012_001,IMPC_CSD_012_001
UCDLA_CSD_006_001,IMPC_CSD_006_001
UCDLA_CSD_082_001,IMPC_CSD_082_001
UCDLA_CSD_084_001,IMPC_CSD_084_001
UCDLA_CSD_054_002,IMPC_CSD_054_002
UCDLA_CSD_056_001,IMPC_CSD_056_001
UCDLA_CSD_068_001,IMPC_CSD_068_001
UCDLA_CSD_080_001,IMPC_CSD_080_001
UCDLA_CSD_065_001,IMPC_CSD_065_001
UCDLA_CSD_070_001,IMPC_CSD_070_001
UCDLA_CSD_038_001,IMPC_CSD_038_001
UCDLA_CSD_031_001,IMPC_CSD_031_001
UCDLA_CSD_027_001,IMPC_CSD_027_001
UCDLA_CSD_010_001,IMPC_CSD_010_001
UCDLA_CSD_044_002,IMPC_CSD_044_002
UCDLA_CSD_026_001,IMPC_CSD_026_001
UCDLA_CSD_081_001,IMPC_CSD_081_001
UCDLA_CSD_025_001,IMPC_CSD_025_001
UCDLA_CSD_007_001,IMPC_CSD_007_001
UCDLA_CSD_079_001,IMPC_CSD_079_001
UCDLA_CSD_004_001,IMPC_CSD_004_001
UCDLA_CSD_036_001,IMPC_CSD_036_001
UCDLA_CSD_077_001,IMPC_CSD_077_001
UCDLA_CSD_064_001,IMPC_CSD_064_001
UCDLA_CSD_060_001,IMPC_CSD_060_001
UCDLA_CSD_001_001,IMPC_CSD_001_001
UCDLA_CSD_069_001,IMPC_CSD_069_001
UCDLA_CSD_051_002,IMPC_CSD_051_002
UCDLA_CSD_083_001,IMPC_CSD_083_001
UCDLA_CSD_034_001,IMPC_CSD_034_001
UCDLA_CSD_030_001,IMPC_CSD_030_001
UCDLA_CSD_078_001,IMPC_CSD_078_001
UCDLA_CSD_037_001,IMPC_CSD_037_001
UCDLA_CSD_063_001,IMPC_CSD_063_001
UCDLA_CSD_049_002,IMPC_CSD_049_002
UCDLA_CSD_046_001,IMPC_CSD_046_001
UCDLA_CSD_075_001,IMPC_CSD_075_001
UCDLA_CSD_061_001,IMPC_CSD_061_001
UCDLA_CSD_042_002,IMPC_CSD_042_002
UCDLA_CSD_017_001,IMPC_CSD_017_001
UCDLA_CSD_076_001,IMPC_CSD_076_001
UCDLA_CSD_087_001,IMPC_CSD_087_001
UCDLA_ECG_003_001,IMPC_ECG_003_001
UCDLA_ECG_013_001,IMPC_ECG_013_001
UCDLA_ECG_006_001,IMPC_ECG_006_001
UCDLA_ECG_004_001,IMPC_ECG_004_001
UCDLA_ECG_017_001,IMPC_ECG_017_001
UCDLA_ECG_016_001,IMPC_ECG_016_001
UCDLA_ECG_011_001,IMPC_ECG_011_001
UCDLA_ECG_009_002,IMPC_ECG_009_002
UCDLA_ECG_015_001,IMPC_ECG_015_001
UCDLA_ECG_012_001,IMPC_ECG_012_001
UCDLA_ECG_021_001,IMPC_ECG_021_001
UCDLA_ECG_008_001,IMPC_ECG_008_001
UCDLA_ECG_001_001,IMPC_ECG_001_001
UCDLA_ECG_018_001,IMPC_ECG_018_001
UCDLA_ECG_020_001,IMPC_ECG_020_001
UCDLA_ECG_023_001,IMPC_ECG_023_001
UCDLA_ECG_005_001,IMPC_ECG_005_001
UCDLA_ECG_022_001,IMPC_ECG_022_001
UCDLA_ECG_007_001,IMPC_ECG_007_001
UCDLA_ECG_010_001,IMPC_ECG_010_001
UCDLA_ECG_025_001,IMPC_ECG_025_001
UCDLA_ECG_019_001,IMPC_ECG_019_001
UCDLA_ECG_024_001,IMPC_ECG_024_001
UCDLA_ECG_002_001,IMPC_ECG_002_001
UCDLA_ECG_026_001,IMPC_ECG_026_001
UCDLA_ECG_014_001,IMPC_ECG_014_001
UCDLA_EYE_058_001,IMPC_EYE_058_001
UCDLA_EYE_062_001,IMPC_EYE_062_001
UCDLA_EYE_035_001,IMPC_EYE_035_001
UCDLA_EYE_059_001,IMPC_EYE_059_001
UCDLA_EYE_037_001,IMPC_EYE_037_001
UCDLA_EYE_051_001,IMPC_EYE_051_001
UCDLA_EYE_011_001,IMPC_EYE_011_001
UCDLA_EYE_082_001,IMPC_EYE_082_001
UCDLA_EYE_041_001,IMPC_EYE_041_001
UCDLA_EYE_087_001,IMPC_EYE_087_001
UCDLA_EYE_057_001,IMPC_EYE_057_001
UCDLA_EYE_050_001,IMPC_EYE_050_001
UCDLA_EYE_083_001,IMPC_EYE_083_001
UCDLA_EYE_031_001,IMPC_EYE_031_001
UCDLA_EYE_042_001,IMPC_EYE_042_001
UCDLA_EYE_090_001,IMPC_EYE_090_001
UCDLA_EYE_002_001,IMPC_EYE_002_001
UCDLA_EYE_084_001,IMPC_EYE_084_001
UCDLA_EYE_023_001,IMPC_EYE_023_001
